2024-08-19T20:38:38.008996 [ENB    ] [I] Using binary /usr/local/bin/srsenb with arguments: 
2024-08-19T20:38:38.058475 [ENB    ] [I] Built in Release mode using commit ec29b0c1f on branch HEAD.
2024-08-19T20:52:00.629966 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:52:00.629967 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:52:00.629976 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:52:19.300138 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:52:19.300177 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:52:19.300195 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:52:29.300099 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:52:29.300103 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:52:29.300104 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:52:29.300119 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:52:47.973136 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:52:47.973254 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:52:47.973271 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:52:57.972252 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:52:57.972257 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:52:57.972258 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:52:57.972270 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:53:16.644218 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:53:16.644316 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:53:16.644327 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:53:26.644309 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:53:26.644313 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:53:26.644315 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:53:26.644325 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:53:45.316144 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:53:45.316239 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:53:45.316251 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:53:55.315712 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:53:55.315715 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:53:55.315717 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:53:55.315725 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:54:13.989133 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:54:13.989249 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
2024-08-19T20:54:13.989258 [COMN   ] [D] [    0] Socket=7 was closed.
2024-08-19T20:54:23.988761 [COMN   ] [D] [    0] Opened SCTP socket=7
2024-08-19T20:54:23.988767 [COMN   ] [D] [    0] Setting RTO_INFO options on SCTP socket. Association 0, Initial RTO 3000, Minimum RTO 1000, Maximum RTO 6000
2024-08-19T20:54:23.988768 [COMN   ] [D] [    0] Setting SCTP_INITMSG options on SCTP socket. Max attempts 3, Max init attempts timeout 5000
2024-08-19T20:54:23.988778 [COMN   ] [D] [    0] Successfully bound to address 172.22.0.22:0
2024-08-19T20:54:42.661133 [COMN   ] [I] [    0] Failed to establish socket connection to 172.22.0.9
2024-08-19T20:54:42.661255 [COMN   ] [W] [    0] RxSockets: The socket fd=7 to be removed does not exist
